building_id,rep_point,geohash
13103-bldg-23027,POINT (139.75083033707648 35.666777348455994),xn76uhgqn35
13103-bldg-23089,POINT (139.75057991255096 35.667098075415474),xn76uhgrbsc
13103-bldg-23059,POINT (139.7506607778123 35.66703668997714),xn76uhgrd3t
13103-bldg-22976,POINT (139.75085553440812 35.6669572455334),xn76uhgrnfw
13103-bldg-23026,POINT (139.7508570039058 35.66701520376781),xn76uhgrqvx
13103-bldg-23085,POINT (139.7507828709091 35.66705134132834),xn76uhgrtk2
13103-bldg-22867,POINT (139.75135870562687 35.666673258314724),xn76uhgv6tv
13103-bldg-22769,POINT (139.7515786640462 35.66667348514163),xn76uhgvrvc
13103-bldg-22936,POINT (139.75114424658096 35.66687229431752),xn76uhgwtdv
13103-bldg-23043,POINT (139.75097889093703 35.667016611298386),xn76uhgx3vf
13103-bldg-23033,POINT (139.75102595719736 35.66695590284021),xn76uhgx4fm
13103-bldg-23010,POINT (139.7510879319604 35.66697808761182),xn76uhgxhqe
13103-bldg-22981,POINT (139.7511600873882 35.66695785278671),xn76uhgxn4c
13103-bldg-22979,POINT (139.7512599009006 35.66692853575176),xn76uhgybmk
13103-bldg-22943,POINT (139.75144028272848 35.66689649747227),xn76uhgysx6
13103-bldg-22967,POINT (139.75146425780244 35.66694228413197),xn76uhgyvpu
13103-bldg-23109,POINT (139.75133892445666 35.667104420387204),xn76uhgzfnp
13103-bldg-23048,POINT (139.75151642286926 35.66700176123656),xn76uhgzq75
13103-bldg-22813,POINT (139.75160761310735 35.66672572753664),xn76uhuj8rx
13103-bldg-22806,POINT (139.75184354527386 35.66672216081891),xn76uhujtyz
13103-bldg-22935,POINT (139.7516054002119 35.66683537378985),xn76uhun2kj
13103-bldg-22890,POINT (139.75174016927014 35.66684467973182),xn76uhun7td
13103-bldg-22941,POINT (139.75172969366486 35.6668984338571),xn76uhunerf
13103-bldg-23015,POINT (139.7516496883116 35.66696944409968),xn76uhup1mn
13103-bldg-23100,POINT (139.75163008836606 35.66710237193808),xn76uhupcjb
13103-bldg-23086,POINT (139.7516954576957 35.667078649130126),xn76uhupf92
13103-bldg-22988,POINT (139.75176381745783 35.666950749227716),xn76uhuph1e
13103-bldg-23062,POINT (139.75180332493272 35.667042832189786),xn76uhupt49
13103-bldg-23091,POINT (139.751824647158 35.66710075020716),xn76uhupvt3
13103-bldg-22923,POINT (139.7520084296899 35.66687704392252),xn76uhuq9gf
13103-bldg-22985,POINT (139.75193414250876 35.666931892479475),xn76uhuqbn4
13103-bldg-22960,POINT (139.75203415300473 35.66692917749949),xn76uhuqfmm
13103-bldg-22924,POINT (139.75211747143527 35.6668708401475),xn76uhuqs6e
13103-bldg-23083,POINT (139.75205045811458 35.667023815561535),xn76uhur6z1
13103-bldg-22779,POINT (139.75227431181153 35.66669636409955),xn76uhut840
13103-bldg-22865,POINT (139.75286458231895 35.66676739647812),xn76uhuvvz2
13103-bldg-22808,POINT (139.7529446939409 35.66671797413288),xn76uhuvxwh
13103-bldg-22939,POINT (139.7522840748992 35.666863838273514),xn76uhuw81r
13103-bldg-22999,POINT (139.75239947153395 35.66695671511102),xn76uhux4ft
13103-bldg-22897,POINT (139.75268729276053 35.666829280342974),xn76uhuy3du
13103-bldg-23057,POINT (139.75267860039304 35.667025134679385),xn76uhuz3rq
13103-bldg-23023,POINT (139.75278505909836 35.66699086093504),xn76uhuz7bv
13103-bldg-23088,POINT (139.75276266330687 35.667076295498646),xn76uhuzg2u
13103-bldg-23042,POINT (139.75286173826316 35.666995896524305),xn76uhuzm9y
13103-bldg-22994,POINT (139.7529502914426 35.66695915586252),xn76uhuzpg0
13103-bldg-22819,POINT (139.7530775800923 35.666748090928586),xn76uhvjfex
13103-bldg-22799,POINT (139.7531695924779 35.66669871375717),xn76uhvjsfs
13103-bldg-22837,POINT (139.75297439091383 35.666788977223284),xn76uhvn076
13103-bldg-22977,POINT (139.7530240241618 35.66693579294709),xn76uhvncqx
13103-bldg-22938,POINT (139.75323957188078 35.66686726606352),xn76uhvnw9b
13103-bldg-23169,POINT (139.75308271489246 35.66709484384044),xn76uhvpfu7
13103-bldg-23142,POINT (139.75325226339876 35.667083431319476),xn76uhvpyf3
13103-bldg-22880,POINT (139.75346109721403 35.66678573338085),xn76uhvq5dv
13103-bldg-22955,POINT (139.75357541088914 35.66692010223939),xn76uhvqy7f
13103-bldg-23030,POINT (139.7533103470846 35.66701109939855),xn76uhvr2hv
13103-bldg-23017,POINT (139.75335214708298 35.66700054196226),xn76uhvr34u
13103-bldg-23093,POINT (139.75345512714406 35.667020517741285),xn76uhvr7w9
13103-bldg-23107,POINT (139.75335327720074 35.66710557713418),xn76uhvrcnm
13103-bldg-23054,POINT (139.75360954877837 35.66701593610435),xn76uhvrrjs
13103-bldg-23064,POINT (139.75355462331018 35.66704724674185),xn76uhvrtge
13103-bldg-22928,POINT (139.75378444492503 35.666756051705285),xn76uhvtgjn
13103-bldg-22984,POINT (139.75388673505432 35.666929700574315),xn76uhvwvtd
13103-bldg-23031,POINT (139.75366797328726 35.666997624036966),xn76uhvx26r
13103-bldg-23004,POINT (139.75377424940984 35.66699654650656),xn76uhvx6fn
13103-bldg-22816,POINT (139.75443314488683 35.66667339128361),xn76uhyj6mf
13103-bldg-22776,POINT (139.75463586219212 35.66668425994134),xn76uhyjrpc
13103-bldg-23166,POINT (139.75463714376104 35.66703248284055),xn76uhypx0f
13103-bldg-22887,POINT (139.75489491180377 35.66684388121933),xn76uhyqmjd
13103-bldg-23061,POINT (139.7548028322938 35.66703669805994),xn76uhyrdct
13103-bldg-27336,POINT (139.75489439517182 35.6669511314735),xn76uhyrj1d
13103-bldg-22805,POINT (139.75526298459957 35.666722309598406),xn76uhyttwv
13103-bldg-22815,POINT (139.75543308672496 35.66670986051173),xn76uhyv9se
13103-bldg-22811,POINT (139.7556094197151 35.6667064242983),xn76uhyvtez
13103-bldg-22903,POINT (139.75512524428794 35.666810995940416),xn76uhyw4rq
13103-bldg-23024,POINT (139.75514661302452 35.66692431932506),xn76uhywfuw
13103-bldg-22876,POINT (139.7552064236031 35.66678186073623),xn76uhywh64
13103-bldg-22851,POINT (139.75530061889597 35.66679714155462),xn76uhywnsc
13103-bldg-22902,POINT (139.7553081705342 35.66686627837953),xn76uhyww9y
13103-bldg-22980,POINT (139.75534088936658 35.66693216567348),xn76uhywzqp
13103-bldg-23105,POINT (139.755225165446 35.667104800319976),xn76uhyxuy0
13103-bldg-23092,POINT (139.75534588533517 35.66707569878047),xn76uhyxz8f
13103-bldg-22929,POINT (139.7555740456853 35.6668348091236),xn76uhyykgv
13103-bldg-23070,POINT (139.75542739176555 35.667050471478966),xn76uhyz9kp
13103-bldg-23034,POINT (139.75564091490344 35.666964606129035),xn76uhyznkn
13103-bldg-23065,POINT (139.75558143237652 35.66706453136885),xn76uhyztnd
13103-bldg-23096,POINT (139.7556045966475 35.667109976059706),xn76uhyzvx5
13103-bldg-22803,POINT (139.75598116742728 35.666703793315165),xn76uhzjw7k
13103-bldg-22766,POINT (139.7560660647571 35.666678792779024),xn76uhzm2qg
13103-bldg-22836,POINT (139.75611407023632 35.666746411913316),xn76uhzmc7r
13103-bldg-22773,POINT (139.7562980078368 35.6666762159005),xn76uhzmmy2
13103-bldg-23068,POINT (139.75574086819 35.66702935823433),xn76uhzp8b1
13103-bldg-22959,POINT (139.75607396306953 35.666899789163665),xn76uhzqb81
13103-bldg-22942,POINT (139.7561672048063 35.66686522402987),xn76uhzqd9x
13103-bldg-22916,POINT (139.756239136263 35.66684377251115),xn76uhzqkms
13103-bldg-22893,POINT (139.75629446147283 35.666826457110844),xn76uhzqmdq
13103-bldg-22883,POINT (139.7563390693856 35.66681037460302),xn76uhzqnxr
13103-bldg-22873,POINT (139.75638370436803 35.66680082308732),xn76uhzqpv8
13103-bldg-22971,POINT (139.756381487787 35.666919073065735),xn76uhzqzex
13103-bldg-22993,POINT (139.75611103493128 35.66697493692042),xn76uhzr1qj
13103-bldg-23040,POINT (139.75612899312935 35.66702509935292),xn76uhzr3z6
13103-bldg-23005,POINT (139.7562390228243 35.666963795330005),xn76uhzrh7u
13103-bldg-23120,POINT (139.75633152483292 35.66710728554286),xn76uhzryw9
13103-bldg-22798,POINT (139.75649122708185 35.66671900229941),xn76uhztdq2
13103-bldg-22821,POINT (139.7565820990103 35.66673639107637),xn76uhztu3s
13103-bldg-22800,POINT (139.7566522426029 35.66670562232764),xn76uhztw5b
13103-bldg-22784,POINT (139.75688206560153 35.66670438825271),xn76uhzve7s
13103-bldg-22829,POINT (139.7569168801924 35.666763521392745),xn76uhzvunw
13103-bldg-22859,POINT (139.75644008401335 35.666785730090204),xn76uhzw14f
13103-bldg-22845,POINT (139.7565186886531 35.66677650643958),xn76uhzw4cj
13103-bldg-22931,POINT (139.75652446212268 35.66688230084943),xn76uhzwehc
13103-bldg-22940,POINT (139.7564819899334 35.66690679714131),xn76uhzwf16
13103-bldg-22904,POINT (139.75661023966873 35.66685656795355),xn76uhzwmpc
13103-bldg-22869,POINT (139.75670963729786 35.66680537430981),xn76uhzwpq7
13103-bldg-23098,POINT (139.75652294183885 35.66704307245794),xn76uhzxe48
13103-bldg-23037,POINT (139.7567091062185 35.66698167501309),xn76uhzxpr7
13103-bldg-22886,POINT (139.75681322540848 35.66679385274642),xn76uhzy1u3
13103-bldg-22992,POINT (139.75687960278168 35.66693835451747),xn76uhzygr4
13103-bldg-22875,POINT (139.7569431348939 35.66682673524335),xn76uhzykf3
13103-bldg-22925,POINT (139.75697376596239 35.666878200081655),xn76uhzyteb
13103-bldg-22961,POINT (139.75700111831165 35.666929212759946),xn76uhzyyjt
13103-bldg-23016,POINT (139.75677991133145 35.6669540036032),xn76uhzz140
13103-bldg-23104,POINT (139.7570013170051 35.667088068084055),xn76uhzzy5j
13103-bldg-27417,POINT (139.75001357787946 35.66775464322961),xn76uj4ger6
13103-bldg-23953,POINT (139.7500103054009 35.668478799513196),xn76uj4zgq2
13103-bldg-23111,POINT (139.75058717986158 35.667133204897574),xn76uj520ew
13103-bldg-23148,POINT (139.75068754922182 35.667126155952076),xn76uj52541
13103-bldg-23309,POINT (139.75098416269807 35.667271893445886),xn76uj58cvq
13103-bldg-23174,POINT (139.75132319040665 35.66722340908961),xn76uj5b9u7
13103-bldg-23129,POINT (139.75154390168137 35.66713117375886),xn76uj5bngp
13103-bldg-23294,POINT (139.75149304885912 35.66738605382948),xn76uj5ctfd
13103-bldg-23343,POINT (139.7515329024951 35.667447719488166),xn76uj5cywp
13103-bldg-23581,POINT (139.75114926338105 35.66765176316493),xn76uj5eju1
13103-bldg-23624,POINT (139.7511124834211 35.6677984151267),xn76uj5euzw
13103-bldg-23394,POINT (139.75156201237846 35.6675232540348),xn76uj5frkj
13103-bldg-23560,POINT (139.75147636604933 35.66771812167064),xn76uj5gt2t
13103-bldg-23808,POINT (139.75071155630167 35.66822908513513),xn76uj5q7xg
13103-bldg-23829,POINT (139.75071021982887 35.668285970004426),xn76uj5qgd6
13103-bldg-24008,POINT (139.7505942669917 35.66842940047914),xn76uj5r8v5
13103-bldg-23707,POINT (139.75134960232384 35.66801742523997),xn76uj5v62r
13103-bldg-23729,POINT (139.75148554249225 35.668021504864875),xn76uj5vm9h
13103-bldg-23782,POINT (139.7515549743897 35.66816570484181),xn76uj5ypk0
