building_id,rep_point,geohash
13103-bldg-2909,POINT (139.7505302095685 35.66703613490961),xn76uhgpx3k
13103-bldg-2302700000,POINT (139.75082355030474 35.666776796156704),xn76uhgqn1n
13103-bldg-2308900000,POINT (139.75058730148086 35.66709910314998),xn76uhgrbtn
13103-bldg-2305900000,POINT (139.75065265259735 35.6670372397474),xn76uhgrd1x
13103-bldg-12308500000,POINT (139.7507787511241 35.667050396938386),xn76uhgrthj
13103-bldg-3920,POINT (139.7515748292115 35.66667313223758),xn76uhgvrty
13103-bldg-4989,POINT (139.7511347023731 35.666872736127296),xn76uhgwt6y
13103-bldg-11303,POINT (139.75097204066986 35.667020759052065),xn76uhgx3wt
13103-bldg-5418,POINT (139.751021531829 35.666961609978586),xn76uhgx4gd
13103-bldg-5781,POINT (139.75108452741512 35.666977642929425),xn76uhgxhq9
13103-bldg-1653,POINT (139.75115042027207 35.666945361237914),xn76uhgxjbd
13103-bldg-9310,POINT (139.75117282585168 35.666990006957874),xn76uhgxq2g
13103-bldg-8968,POINT (139.7513950283835 35.666825549449015),xn76uhgy7d0
13103-bldg-2399,POINT (139.75143547923068 35.66689711904639),xn76uhgysrx
13103-bldg-3703,POINT (139.75145883200545 35.666940051696656),xn76uhgyvp8
13103-bldg-2189,POINT (139.75132390496444 35.66710627689969),xn76uhgzcye
13103-bldg-5226,POINT (139.75151091971577 35.66699917320848),xn76uhgzq4x
13103-bldg-9255,POINT (139.75159822736308 35.66672541334169),xn76uhuj8r8
13103-bldg-1864,POINT (139.75183883401743 35.66672066315977),xn76uhujtye
13103-bldg-347,POINT (139.75226615004365 35.66669786725121),xn76uhumxf6
13103-bldg-760,POINT (139.75159957547945 35.666834263481775),xn76uhun27c
13103-bldg-1139,POINT (139.75162558477112 35.667106411949156),xn76uhupbys
13103-bldg-7889,POINT (139.75169352753645 35.667088728530786),xn76uhupf7p
13103-bldg-5986,POINT (139.75179314096613 35.667044779768176),xn76uhupsg1
13103-bldg-321,POINT (139.75181519287904 35.667099735084605),xn76uhupvm6
13103-bldg-731,POINT (139.7520067579891 35.66687893564919),xn76uhuq9u1
13103-bldg-7763,POINT (139.7519327382761 35.666933736960175),xn76uhuqbn3
13103-bldg-9931,POINT (139.75203114639044 35.6669311620256),xn76uhuqfmg
13103-bldg-890,POINT (139.7522256294473 35.66682551664343),xn76uhuqqfh
13103-bldg-10508,POINT (139.75211255463512 35.66687315040337),xn76uhuqs5p
13103-bldg-5586,POINT (139.75204616997345 35.66702520354178),xn76uhur6xq
13103-bldg-3942,POINT (139.7529349600899 35.666715781625285),xn76uhuvxmt
13103-bldg-509,POINT (139.7522854777572 35.66687168951012),xn76uhuw86b
13103-bldg-4498,POINT (139.7523969556963 35.666960604189356),xn76uhux4gk
13103-bldg-2223,POINT (139.75240268964254 35.66707453685865),xn76uhuxg08
13103-bldg-643,POINT (139.75267801247603 35.66682971988781),xn76uhuy36v
13103-bldg-3364,POINT (139.75286094966197 35.666774291103906),xn76uhuyj8t
13103-bldg-3403,POINT (139.75275769973007 35.66707661824032),xn76uhuzg2c
13103-bldg-10209,POINT (139.75285337988217 35.66699724026447),xn76uhuzmd0
13103-bldg-2145,POINT (139.7530718443091 35.66674368031868),xn76uhvjfdg
13103-bldg-198,POINT (139.75315371178414 35.66667004755548),xn76uhvjkt0
13103-bldg-3433,POINT (139.7529725562209 35.66678552797768),xn76uhvn069
13103-bldg-5245,POINT (139.7529830496991 35.66694111762495),xn76uhvnbx9
13103-bldg-334,POINT (139.75323063820963 35.66686676686794),xn76uhvnw3c
13103-bldg-11665,POINT (139.75307753608314 35.66709382522783),xn76uhvpfsp
13103-bldg-3429,POINT (139.75330194150703 35.66700631348489),xn76uhvprgy
13103-bldg-4961,POINT (139.7532464218608 35.6670857914148),xn76uhvpydt
13103-bldg-1900,POINT (139.7534644647631 35.666791246317565),xn76uhvq5gb
13103-bldg-9454,POINT (139.7535845519751 35.6669127511159),xn76uhvqyd3
13103-bldg-10815,POINT (139.75334166678923 35.66699077629413),xn76uhvr2bu
13103-bldg-11381,POINT (139.7534491243546 35.66702270327716),xn76uhvr7qu
13103-bldg-8466,POINT (139.7533467476909 35.66710152831519),xn76uhvrcj8
13103-bldg-6166,POINT (139.75360704941394 35.667021482197356),xn76uhvrrnd
13103-bldg-7593,POINT (139.75354650429986 35.66704254472459),xn76uhvrtdt
13103-bldg-4580,POINT (139.7537832386629 35.66675417615064),xn76uhvtghv
13103-bldg-8494,POINT (139.75385941145515 35.66692154480395),xn76uhvwuun
13103-bldg-9985,POINT (139.7536647131718 35.66699733211424),xn76uhvx26j
13103-bldg-9133,POINT (139.754429409455 35.66667234806214),xn76uhyj6jx
13103-bldg-10483,POINT (139.7546314286592 35.667032924858084),xn76uhypwby
13103-bldg-3308,POINT (139.75488826357503 35.666846011434565),xn76uhyqkvv
13103-bldg-2280,POINT (139.75479497063057 35.66703807842782),xn76uhyrdcb
13103-bldg-9171,POINT (139.754878467818 35.666945777544754),xn76uhyrh8w
13103-bldg-2607,POINT (139.75525890480455 35.666726484519465),xn76uhyttxd
13103-bldg-559,POINT (139.75543837872556 35.666707016165915),xn76uhyv9sp
13103-bldg-1365,POINT (139.75560206571615 35.666707067856315),xn76uhyvts1
13103-bldg-7724,POINT (139.75516420904648 35.66679685813933),xn76uhyw5kg
13103-bldg-2380,POINT (139.75514016189433 35.66692472538635),xn76uhywfu9
13103-bldg-9982,POINT (139.75529618016114 35.66680170970729),xn76uhywnmt
13103-bldg-6425,POINT (139.75529896627964 35.66687051274755),xn76uhyww6x
13103-bldg-6907,POINT (139.75533293527502 35.66693182766116),xn76uhywzmc
13103-bldg-11197,POINT (139.7552197391271 35.66710331585688),xn76uhyxutu
13103-bldg-354,POINT (139.75534409027082 35.667081036818715),xn76uhyxz9c
13103-bldg-9249,POINT (139.7555690810991 35.66683531341871),xn76uhyyku1
13103-bldg-3613,POINT (139.75541930130223 35.66705379953485),xn76uhyz9k9
13103-bldg-4972,POINT (139.75562310176355 35.667001519376086),xn76uhyzq4c
13103-bldg-5280,POINT (139.75597540118702 35.666708840408404),xn76uhzjwk2
13103-bldg-3829,POINT (139.75605687921527 35.66667369878158),xn76uhzm2jv
13103-bldg-11077,POINT (139.75609987969543 35.6667516574156),xn76uhzmchm
13103-bldg-864,POINT (139.75573944199436 35.66702747622734),xn76uhzp2zb
13103-bldg-3211,POINT (139.7561493536748 35.66692231353991),xn76uhzqfk4
13103-bldg-10706,POINT (139.75626253685846 35.66684354629484),xn76uhzqkvw
